neighborhood,location,latitude,longitude,url_format,url,median_prices,avg_price_per_sqft
Anderson Mill,"Anderson Mill, Austin, Texas",30.4558345,-97.8070957,anderson-mill,https://www.neighborhoods.com/anderson-mill-austin-tx,321495.0,194.0
Barton Hills,"Barton Hills, Austin, Texas",30.2515707,-97.7841058,barton-hills,https://www.neighborhoods.com/barton-hills-austin-tx,667750.0,487.0
Bouldin Creek,"Bouldin Creek, Austin, Texas",30.255667,-97.7554813,bouldin-creek,https://www.neighborhoods.com/bouldin-creek-austin-tx,725750.0,546.0
Brentwood,"Brentwood, Austin, Texas",30.3312641,-97.7364653,brentwood,https://www.neighborhoods.com/brentwood-austin-tx,495250.0,370.0
Bryker Woods,"Bryker Woods, Austin, Texas",30.305246,-97.7545846,bryker-woods,https://www.neighborhoods.com/bryker-woods-austin-tx,795000.0,558.0
Canyon Creek,"Canyon Creek, Austin, Texas",30.434033,-97.820708,canyon-creek,https://www.neighborhoods.com/canyon-creek-austin-tx,480000.0,169.0
Circle C Ranch,"Circle C Ranch, Austin, Texas",30.190339,-97.88905,circle-c-ranch,https://www.neighborhoods.com/circle-c-ranch-austin-tx,511000.0,198.0
Clarksville,"Clarksville, Austin, Texas",30.2776796,-97.7598075,clarksville,https://www.neighborhoods.com/clarksville-austin-tx,720000.0,505.0
Copperfield,"Copperfield, Austin, Texas",30.390705,-97.6590546,copperfield,https://www.neighborhoods.com/copperfield-austin-tx,238900.0,182.0
Crestview,"Crestview, Austin, Texas",30.3458293,-97.7247612,crestview,https://www.neighborhoods.com/crestview-austin-tx,479000.0,386.0
Dawson,"Dawson, Austin, Texas",30.2329257,-97.7614176,dawson,https://www.neighborhoods.com/dawson-austin-tx,600000.0,469.0
Dove Springs,"Dove Springs, Austin, Texas",30.1865487,-97.73739887317082,dove-springs,https://www.neighborhoods.com/dove-springs-austin-tx,234500.0,176.0
Downtown Austin,"Downtown Austin, Austin, Texas",30.2680536,-97.7447642,downtown-austin,https://www.neighborhoods.com/downtown-austin-austin-tx,575000.0,745.0
East Cesar Chavez,"East Cesar Chavez, Austin, Texas",30.2558955,-97.7317072,east-cesar-chavez,https://www.neighborhoods.com/east-cesar-chavez-austin-tx,437500.0,517.0
Easton Park,"Easton Park, Austin, Texas",30.155247,-97.718764,easton-park,https://www.neighborhoods.com/easton-park-austin-tx,382250.0,164.0
Galindo,"Galindo, Austin, Texas",30.2355778,-97.7685149,galindo,https://www.neighborhoods.com/galindo-austin-tx,520000.0,435.0
Granada Hills,"Granada Hills, Austin, Texas",30.220591,-97.899507,granada-hills,https://www.neighborhoods.com/granada-hills-austin-tx,443300.0,232.0
Hancock,"Hancock, Austin, Texas",30.2958956,-97.7247678,hancock,https://www.neighborhoods.com/hancock-austin-tx,496400.0,380.0
Hyde Park,"Hyde Park, Austin, Texas",30.3044117,-97.7304485,hyde-park,https://www.neighborhoods.com/hyde-park-austin-tx,277250.0,439.0
